May 17 22:31:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item pir1 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item pushbtn1 triggered publish
May 17 22:37:51 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item temp1 triggered publish
May 17 22:37:53 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item analog1 triggered publish
May 17 22:37:55 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item analog2 triggered publish
May 17 22:37:57 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item analog3 triggered publish
May 17 22:37:58 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcServer.c ProcessUserAgreement() 1472 | Broadcast notification to applications
May 17 22:37:58 swi-mdm9x15 user.info Legato:  INFO | avcControl[1014]/avcControl T=main | avcControl.c StatusHandler() 167 | Air Vantage agent reported update status: NO_UPDATE
May 17 22:37:59 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item analog4 triggered publish
May 17 22:37:59 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item accelerometer triggered publish
May 17 22:37:59 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item cellstrength triggered publish
May 17 22:37:59 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 684 | Publish successful
May 17 22:37:59 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
